No.,P1,P2,P3,P4,Duration
20_12,r,iy,ah,dh,500
20_13,iy,ah,dh,ax,688
20_14,ah,dh,ax,r,1003
20_15,dh,ax,r,ay,1089
20_16,ax,r,ay,n,880
20_17,r,ay,n,aa,2245
20_18,ay,n,aa,s,1805
20_19,n,aa,s,r,668
20_20,aa,s,r,ix,795
20_21,s,r,ix,s,1732
20_22,r,ix,s,f,1215
20_23,ix,s,f,ay,2340
20_24,s,f,ay,dx,560
20_25,f,ay,dx,aa,1919
20_26,ay,dx,aa,l,919
20_27,dx,aa,l,ow,1504
20_28,aa,l,ow,v,1086
20_29,l,ow,v,er,1796
20_30,ow,v,er,ix,776
20_31,v,er,ix,gcl,430
20_32,er,ix,gcl,g,240
20_33,ix,gcl,g,ae,1930
20_34,gcl,g,ae,n,1178
21_0,sil,sil,sil,sh,1170
21_1,sil,sil,sh,iy,1128
21_2,sil,sh,iy,s,1922
21_3,sh,iy,s,epi,563
21_4,iy,s,epi,n,400
21_5,s,epi,n,aa,1501
21_6,epi,n,aa,r,1379
21_7,n,aa,r,el,1420
21_8,aa,r,el,dcl,1880
21_9,r,el,dcl,w,877
21_10,el,dcl,w,ao,878
21_11,dcl,w,ao,r,459
21_12,w,ao,r,n,543
21_13,ao,r,n,ix,585
21_14,r,n,ix,ng,1003
21_15,n,ix,ng,l,1378
21_16,ix,ng,l,ix,1003
22_0,sil,sil,sil,w,455
22_1,sil,sil,w,ix,499
22_2,sil,w,ix,th,1420
22_3,w,ix,th,ix,966
22_4,ix,th,ix,w,2379
22_5,th,ix,w,er,1880
22_6,ix,w,er,l,1379
22_7,w,er,l,ih,1336
22_8,er,l,ih,ng,1120
22_9,l,ih,ng,dcl,720
22_10,ih,ng,dcl,jh,940
22_11,ng,dcl,jh,ah,2700
22_12,dcl,jh,ah,m,864
22_13,jh,ah,m,pcl,1766
22_14,ah,m,pcl,p,290
22_15,m,pcl,p,q,1268
22_16,pcl,p,q,ix,416
22_17,p,q,ix,kcl,746
22_18,q,ix,kcl,k,755
22_19,ix,kcl,k,ax,680
22_20,kcl,k,ax,gcl,1925
22_21,k,ax,gcl,g,570
22_22,ax,gcl,g,ih,1812
22_23,gcl,g,ih,tcl,848
22_24,g,ih,tcl,t,259
22_25,ih,tcl,t,q,1324
22_26,tcl,t,q,ix,474
22_27,t,q,ix,n,893
22_28,q,ix,n,tcl,530
22_29,ix,n,tcl,t,970
22_30,n,tcl,t,ix,565
22_31,tcl,t,ix,gcl,1505
22_32,t,ix,gcl,g,400
22_33,ix,gcl,g,iy,2412
22_34,gcl,g,iy,axr,1629
23_0,sil,sil,sil,dh,1230
23_1,sil,sil,dh,iy,1343
23_2,sil,dh,iy,eh,1047
23_3,dh,iy,eh,n,749
23_4,iy,eh,n,tcl,571
23_5,eh,n,tcl,t,1100
23_6,n,tcl,t,ih,1143
23_7,tcl,t,ih,th,1773
23_8,t,ih,th,ix,610
23_9,ih,th,ix,s,2065
23_10,th,ix,s,ih,1261
23_11,ix,s,ih,s,1981
23_12,s,ih,s,ah,1107
23_13,ih,s,ah,v,720
23_14,s,ah,v,dh,610
23_15,ah,v,dh,iy,1201
23_16,v,dh,iy,q,1488
23_17,dh,iy,q,eh,872
23_18,iy,q,eh,kcl,1009
23_19,q,eh,kcl,k,1133
23_20,eh,kcl,k,y,372
23_21,kcl,k,y,ux,304
23_22,k,y,ux,m,1379
23_23,y,ux,m,eh,1150
23_24,ux,m,eh,nx,334
23_25,m,eh,nx,ih,1138
23_26,eh,nx,ih,kcl,1120
23_27,nx,ih,kcl,k,850
23_28,ih,kcl,k,ax,1279
23_29,kcl,k,ax,l,1320
23_30,k,ax,l,q,1186
23_31,ax,l,q,eh,616
23_32,l,q,eh,n,930
23_33,q,eh,n,dh,301
23_34,eh,n,dh,ax,910
23_35,n,dh,ax,l,1491
23_36,dh,ax,l,ow,1887
23_37,ax,l,ow,kcl,890
23_38,l,ow,kcl,k,870
23_39,ow,kcl,k,el,2082
23_40,kcl,k,el,dh,1468
23_41,k,el,dh,eh,1707
23_42,el,dh,eh,n,2304
23_43,dh,eh,n,ow,1985
23_44,eh,n,ow,l,1235
23_45,n,ow,l,ao,1915
23_46,ow,l,ao,ng,1007
23_47,l,ao,ng,gcl,410
23_48,ao,ng,gcl,g,437
23_49,ng,gcl,g,er,1778
23_50,gcl,g,er,ix,835
23_51,g,er,ix,gcl,337
23_52,er,ix,gcl,g,540
23_53,ix,gcl,g,z,1677
23_54,gcl,g,z,ih,2288
23_55,g,z,ih,s,2266
23_56,z,ih,s,tcl,885
23_57,ih,s,tcl,s,2564
24_0,sil,sil,sil,b,540
24_1,sil,sil,b,r,520
24_2,sil,b,r,iy,1040
24_3,b,r,iy,f,1526
24_4,r,iy,f,s,1273
24_5,iy,f,s,epi,596
24_6,f,s,epi,n,597
24_7,s,epi,n,ih,1064
24_8,epi,n,ih,pcl,1244
24_9,n,ih,pcl,p,156
24_10,ih,pcl,p,s,1244
24_11,pcl,p,s,ix,620
24_12,p,s,ix,v,800
24_13,s,ix,v,ae,1760
24_14,ix,v,ae,kcl,255
24_15,v,ae,kcl,k,459
24_16,ae,kcl,k,sh,1561
24_17,kcl,k,sh,ax,695
24_18,k,sh,ax,l,1086
24_19,sh,ax,l,ih,981
24_20,ax,l,ih,v,1026
24_21,l,ih,v,eh,1085
24_22,ih,v,eh,n,875
24_23,v,eh,n,tcl,461
24_24,eh,n,tcl,s,1398
24_25,n,tcl,s,epi,616
24_26,tcl,s,epi,w,493
24_27,s,epi,w,ix,475
24_28,epi,w,ix,sh,2575
24_29,w,ix,sh,ow,2341
24_30,ix,sh,ow,n,2033
24_31,sh,ow,n,pau,1103
24_32,ow,n,pau,p,1210
24_33,n,pau,p,axr,2127
24_34,pau,p,axr,ey,3065
24_35,p,axr,ey,dcl,1670
24_36,axr,ey,dcl,s,2520
24_37,ey,dcl,s,dcl,1505
24_38,dcl,s,dcl,d,224
24_39,s,dcl,d,ae,1918
24_40,dcl,d,ae,n,724
24_41,d,ae,n,tcl,479
24_42,ae,n,tcl,s,1086
24_43,n,tcl,s,epi,378
24_44,tcl,s,epi,ix,1421
24_45,s,epi,ix,z,1995
24_46,epi,ix,z,s,1823
24_47,ix,z,s,tcl,647
24_48,z,s,tcl,t,545
24_49,s,tcl,t,r,565
24_50,tcl,t,r,iy,833
24_51,t,r,iy,tcl,1595
24_52,r,iy,tcl,s,1340
24_53,iy,tcl,s,iy,1393
24_54,tcl,s,iy,n,2286
24_55,s,iy,n,z,1725
25_0,sil,sil,sil,t,990
25_1,sil,sil,t,ay,3368
25_2,sil,t,ay,m,1199
25_3,t,ay,m,ix,596
25_4,ay,m,ix,n,1117
25_5,m,ix,n,s,1976
25_6,ix,n,s,pcl,1174
25_7,n,s,pcl,p,170
25_8,s,pcl,p,ey,2458
25_9,pcl,p,ey,s,2122
25_10,p,ey,s,ax,537
25_11,ey,s,ax,v,705
25_12,s,ax,v,bcl,1188
25_13,ax,v,bcl,b,249
25_14,v,bcl,b,ow,2071
25_15,bcl,b,ow,th,1200
25_16,b,ow,th,bcl,1440
25_17,ow,th,bcl,b,160
25_18,th,bcl,b,ix,640
25_19,bcl,b,ix,kcl,760
25_20,b,ix,kcl,k,970
25_21,ix,kcl,k,ah,1576
25_22,kcl,k,ah,m,1824
25_23,k,ah,m,s,2521
25_24,ah,m,s,ix,589
25_25,m,s,ix,n,652
25_26,s,ix,n,ax,708
25_27,ix,n,ax,m,1280
25_28,n,ax,m,ae,2560
25_29,ax,m,ae,tcl,330
25_30,m,ae,tcl,t,460
25_31,ae,tcl,t,ix,650
25_32,tcl,t,ix,kcl,1490
25_33,t,ix,kcl,k,973
26_0,sil,sil,sil,r,705
26_1,sil,sil,r,eh,929
26_2,sil,r,eh,z,1278
26_3,r,eh,z,ix,483
26_4,eh,z,ix,dx,480
26_5,z,ix,dx,ih,1084
26_6,ix,dx,ih,n,696
26_7,dx,ih,n,sh,1370
26_8,ih,n,sh,el,859
26_9,n,sh,el,ah,961
26_10,sh,el,ah,s,1636
26_11,el,ah,s,ow,1747
26_12,ah,s,ow,sh,1733
26_13,s,ow,sh,ey,1947
26_14,ow,sh,ey,sh,1743
26_15,sh,ey,sh,ax,646
26_16,ey,sh,ax,n,2287
26_17,sh,ax,n,s,2419
26_18,ax,n,s,tcl,972
26_19,n,s,tcl,t,480
26_20,s,tcl,t,r,593
26_21,tcl,t,r,ah,1187
26_22,t,r,ah,gcl,445
26_23,r,ah,gcl,g,314
26_24,ah,gcl,g,ax,838
26_25,gcl,g,ax,l,1762
26_26,g,ax,l,pau,1241
26_27,ax,l,pau,t,745
26_28,l,pau,t,ax-h,590
26_29,pau,t,ax-h,q,714
26_30,t,ax-h,q,ix,884
26_31,ax-h,q,ix,n,724
26_32,q,ix,n,s,1209
26_33,ix,n,s,epi,506
26_34,n,s,epi,l,551
26_35,s,epi,l,ey,1077
26_36,epi,l,ey,tcl,800
26_37,l,ey,tcl,dh,670
26_38,ey,tcl,dh,ax,272
26_39,tcl,dh,ax,m,1388
26_40,dh,ax,m,s,1394
26_41,ax,m,s,eh,1389
26_42,m,s,eh,l,1002
26_43,s,eh,l,v,725
26_44,eh,l,v,z,646
26_45,l,v,z,ix,674
26_46,v,z,ix,gcl,454
26_47,z,ix,gcl,g,275
26_48,ix,gcl,g,eh,840
26_49,gcl,g,eh,n,712
26_50,g,eh,n,s,1079
26_51,eh,n,s,tcl,452
26_52,n,s,tcl,t,748
26_53,s,tcl,t,ix,480
26_54,tcl,t,ix,n,887
26_55,t,ix,n,tcl,713
26_56,ix,n,tcl,t,1050
26_57,n,tcl,t,r,856
26_58,tcl,t,r,ux,1468
26_59,t,r,ux,zh,1480
26_60,r,ux,zh,en,1234
26_61,ux,zh,en,epi,961
26_62,zh,en,epi,z,1529
27_0,sil,sil,sil,q,807
27_1,sil,sil,q,ih,1273
27_2,sil,q,ih,dx,548
27_3,q,ih,dx,ao,2755
27_4,ih,dx,ao,f,1997
27_5,dx,ao,f,axr,1156
27_6,ao,f,axr,dcl,1404
27_7,f,axr,dcl,t,1290
27_8,axr,dcl,t,ix,540
27_9,dcl,t,ix,s,2740
27_10,t,ix,s,axr,501
27_11,ix,s,axr,r,1462
27_12,s,axr,r,eh,1629
27_13,axr,r,eh,n,447
27_14,r,eh,n,dcl,531
27_15,eh,n,dcl,axr,1905
27_16,n,dcl,axr,ix,775
27_17,dcl,axr,ix,tcl,940
27_18,axr,ix,tcl,s,1290
27_19,ix,tcl,s,epi,850
27_20,tcl,s,epi,r,973
27_21,s,epi,r,ay,1947
27_22,epi,r,ay,tcl,1680
27_23,r,ay,tcl,t,889
27_24,ay,tcl,t,ux,1178
27_25,tcl,t,ux,kcl,635
27_26,t,ux,kcl,s,2155
27_27,ux,kcl,s,kcl,282
27_28,kcl,s,kcl,k,716
27_29,s,kcl,k,ux,1475
27_30,kcl,k,ux,s,1918
27_31,k,ux,s,ix,872
27_32,ux,s,ix,v,596
27_33,s,ix,v,tcl,1014
27_34,ix,v,tcl,t,1660
27_35,v,tcl,t,r,1055
27_36,tcl,t,r,ey,3782
27_37,t,r,ey,dcl,2012
27_38,r,ey,dcl,pau,1881
27_39,ey,dcl,pau,b,240
27_40,dcl,pau,b,ah,880
27_41,pau,b,ah,dx,675
27_42,b,ah,dx,ae,2937
27_43,ah,dx,ae,s,2142
27_44,dx,ae,s,kcl,1306
27_45,ae,s,kcl,eh,1588
27_46,s,kcl,eh,n,836
27_47,kcl,eh,n,ix,667
27_48,eh,n,ix,n,793
27_49,n,ix,n,dcl,1226
27_50,ix,n,dcl,d,390
27_51,n,dcl,d,eh,1686
27_52,dcl,d,eh,m,881
27_53,d,eh,m,n,539
27_54,eh,m,n,ix,1034
27_55,m,n,ix,dcl,724
27_56,n,ix,dcl,d,392
27_57,ix,dcl,d,iy,1365
28_0,sil,sil,sil,dh,290
28_1,sil,sil,dh,iy,1354
28_2,sil,dh,iy,z,1396
28_3,dh,iy,z,m,1009
28_4,iy,z,m,eh,1570
28_5,z,m,eh,n,1044
28_6,m,eh,n,w,393
28_7,eh,n,w,er,1664
28_8,n,w,er,w,1365
28_9,w,er,w,ih,1295
28_10,er,w,ih,th,1270
28_11,w,ih,th,aw,2499
28_12,ih,th,aw,tcl,1151
28_13,th,aw,tcl,k,1090
28_14,aw,tcl,k,ae,1718
28_15,tcl,k,ae,pcl,1092
28_16,k,ae,pcl,p,409
28_17,ae,pcl,p,ax,430
28_18,pcl,p,ax,dx,325
28_19,p,ax,dx,ax,836
28_20,ax,dx,ax,l,1796
28_21,dx,ax,l,axr,1437
28_22,ax,l,axr,kcl,977
28_23,l,axr,kcl,k,343
28_24,axr,kcl,k,s,1328
28_25,kcl,k,s,pcl,749
28_26,k,s,pcl,p,360
28_27,s,pcl,p,ih,780
28_28,pcl,p,ih,r,1295
28_29,p,ih,r,iy,1546
28_30,ih,r,iy,eh,762
28_31,r,iy,eh,n,507
28_32,iy,eh,n,tcl,1190
28_33,eh,n,tcl,t,131
28_34,n,tcl,t,s,1639
29_0,sil,sil,sil,t,1900
29_1,sil,sil,t,w,476
29_2,sil,t,w,eh,809
29_3,t,w,eh,n,866
29_4,w,eh,n,tcl,469
29_5,eh,n,tcl,t,900
29_6,n,tcl,t,iy,995
29_7,tcl,t,iy,f,2315
29_8,t,iy,f,ay,4497
29_9,iy,f,ay,v,2183
29_10,f,ay,v,pau,1220
29_11,ay,v,pau,dh,660
29_12,v,pau,dh,ix,1088
29_13,pau,dh,ix,sh,2771
29_14,dh,ix,sh,iy,1221
29_15,ix,sh,iy,kcl,1400
29_16,sh,iy,kcl,k,1250
29_17,iy,kcl,k,r,348
29_18,kcl,k,r,ix,682
29_19,k,r,ix,pcl,1359
29_20,r,ix,pcl,p,1201
29_21,ix,pcl,p,l,1437
29_22,pcl,p,l,ay,3363
29_23,p,l,ay,dcl,758
29_24,l,ay,dcl,d,558
30_0,sil,sil,sil,dh,280
30_1,sil,sil,dh,ax,703
30_2,sil,dh,ax,l,1504
30_3,dh,ax,l,ay,2494
30_4,ax,l,ay,v,955
30_5,l,ay,v,er,2400
30_6,ay,v,er,iy,1064
30_7,v,er,iy,hv,1150
30_8,er,iy,hv,ae,1796
30_9,iy,hv,ae,z,1254
30_10,hv,ae,z,q,959
30_11,ae,z,q,ow,1161
30_12,z,q,ow,pcl,1070
30_13,q,ow,pcl,p,620
30_14,ow,pcl,p,ix,270
30_15,pcl,p,ix,n,1360
30_16,p,ix,n,sh,1933
30_17,ix,n,sh,epi,301
30_18,n,sh,epi,eh,2393
30_19,sh,epi,eh,l,1469
30_20,epi,eh,l,v,764
30_21,eh,l,v,z,1950
30_22,l,v,z,pau,5503
30_23,v,z,pau,q,474
30_24,z,pau,q,iy,1822
30_25,pau,q,iy,v,814
30_26,q,iy,v,ix,617
30_27,iy,v,ix,n,1040
30_28,v,ix,n,ix,1079
30_29,ix,n,ix,n,1340
30_30,n,ix,n,iy,885
30_31,ix,n,iy,q,1136
30_32,n,iy,q,ah,994
30_33,iy,q,ah,n,1599
30_34,q,ah,n,bcl,402
30_35,ah,n,bcl,b,212
30_36,n,bcl,b,aw,3193
30_37,bcl,b,aw,n,666
30_38,b,aw,n,dcl,844
30_39,aw,n,dcl,p,1420
30_40,n,dcl,p,ih,480
30_41,dcl,p,ih,r,501
30_42,p,ih,r,iy,1662
30_43,ih,r,iy,aa,1713
30_44,r,iy,aa,dx,312
30_45,iy,aa,dx,ix,519
30_46,aa,dx,ix,kcl,913
30_47,dx,ix,kcl,k,540
30_48,ix,kcl,k,el,1331
30_49,kcl,k,el,s,1629
30_50,k,el,s,tcl,650
30_51,el,s,tcl,t,339
30_52,s,tcl,t,aa,2041
30_53,tcl,t,aa,kcl,1100
30_54,t,aa,kcl,k,905
30_55,aa,kcl,k,r,525
30_56,kcl,k,r,uh,1445
30_57,k,r,uh,m,1224
31_0,sil,sil,sil,dh,1308
31_1,sil,sil,dh,ey,1776
31_2,sil,dh,ey,ah,861
31_3,dh,ey,ah,n,762
31_4,ey,ah,n,dcl,288
31_5,ah,n,dcl,d,219
31_6,n,dcl,d,er,1241
31_7,dcl,d,er,s,1054
31_8,d,er,s,tcl,746
31_9,er,s,tcl,t,400
31_10,s,tcl,t,uh,1630
31_11,tcl,t,uh,dcl,815
31_12,t,uh,dcl,en,1802
31_13,uh,dcl,en,tcl,943
31_14,dcl,en,tcl,t,740
31_15,en,tcl,t,iy,2381
31_16,tcl,t,iy,z,1059
31_17,t,iy,z,dcl,520
31_18,iy,z,dcl,m,640
31_19,z,dcl,m,iy,1348
31_20,dcl,m,iy,ix,812
31_21,m,iy,ix,bcl,1010
31_22,iy,ix,bcl,b,370
31_23,ix,bcl,b,ih,996
31_24,bcl,b,ih,q,1651
31_25,b,ih,q,n,699
31_26,ih,q,n,ax,578
31_27,q,n,ax,bcl,776
31_28,n,ax,bcl,b,200
31_29,ax,bcl,b,aa,2480
31_30,bcl,b,aa,dx,400
31_31,b,aa,dx,ax,959
31_32,aa,dx,ax,tcl,988
32_0,sil,sil,sil,b,340
32_1,sil,sil,b,ow,1590
32_2,sil,b,ow,th,1420
32_3,b,ow,th,ix,900
32_4,ow,th,ix,kcl,750
32_5,th,ix,kcl,k,650
32_6,ix,kcl,k,ix,547
32_7,kcl,k,ix,n,763
32_8,k,ix,n,dcl,500
32_9,ix,n,dcl,d,200
32_10,n,dcl,d,ih,1470
32_11,dcl,d,ih,sh,1300
32_12,d,ih,sh,epi,266
32_13,ih,sh,epi,ix,1007
32_14,sh,epi,ix,n,827
32_15,epi,ix,n,z,720
32_16,ix,n,z,eh,1200
32_17,n,z,eh,n,1145
32_18,z,eh,n,dh,345
32_19,eh,n,dh,eh,870
32_20,n,dh,eh,kcl,1210
32_21,dh,eh,kcl,k,970
32_22,eh,kcl,k,ax,493
32_23,kcl,k,ax,m,898
32_24,k,ax,m,pcl,559
32_25,ax,m,pcl,p,1030
32_26,m,pcl,p,l,306
32_27,pcl,p,l,ih,614
32_28,p,l,ih,s,1479
32_29,l,ih,s,ix,751
32_30,ih,s,ix,dx,615
32_31,s,ix,dx,iy,2055
32_32,ix,dx,iy,q,1058
32_33,dx,iy,q,aa,708
32_34,iy,q,aa,r,534
32_35,q,aa,r,dcl,1035
32_36,aa,r,dcl,d,355
32_37,r,dcl,d,aa,1968
32_38,dcl,d,aa,kcl,1282
32_39,d,aa,kcl,k,693
32_40,aa,kcl,k,m,1019
32_41,kcl,k,m,eh,848
32_42,k,m,eh,nx,400
32_43,m,eh,nx,ih,1426
32_44,eh,nx,ih,dx,374
32_45,nx,ih,dx,ix,999
32_46,ih,dx,ix,n,1058
32_47,dx,ix,n,kcl,673
32_48,ix,n,kcl,k,590
32_49,n,kcl,k,ax,400
32_50,kcl,k,ax,n,646
32_51,k,ax,n,tcl,444
32_52,ax,n,tcl,s,1331
32_53,n,tcl,s,ix,879
32_54,tcl,s,ix,dx,340
32_55,s,ix,dx,axr,1106
32_56,ix,dx,axr,v,983
32_57,dx,axr,v,el,1631
32_58,axr,v,el,dcl,1130
32_59,v,el,dcl,d,410
32_60,el,dcl,d,iy,1585
32_61,dcl,d,iy,tcl,915
32_62,d,iy,tcl,t,1150
32_63,iy,tcl,t,ey,1636
32_64,tcl,t,ey,l,769
33_0,sil,sil,sil,n,480
33_1,sil,sil,n,ao,2000
33_2,sil,n,ao,r,1000
33_3,n,ao,r,dh,580
33_4,ao,r,dh,er,1580
33_5,r,dh,er,n,357
33_6,dh,er,n,l,1488
33_7,er,n,l,ih,1809
33_8,n,l,ih,v,1086
33_9,l,ih,v,r,836
33_10,ih,v,r,el,1446
33_11,v,r,el,z,1648
33_12,r,el,z,ah,1704
33_13,el,z,ah,epi,686
33_14,z,ah,epi,dh,250
33_15,ah,epi,dh,ix,648
33_16,epi,dh,ix,tcl,822
33_17,dh,ix,tcl,ch,1790
33_18,ix,tcl,ch,iy,1501
33_19,tcl,ch,iy,f,769
33_20,ch,iy,f,s,1920
33_21,iy,f,s,ix,534
33_22,f,s,ix,pcl,1236
33_23,s,ix,pcl,p,870
33_24,ix,pcl,p,ao,1240
33_25,pcl,p,ao,r,719
33_26,p,ao,r,dx,561
33_27,ao,r,dx,axr,1290
33_28,r,dx,axr,z,1450
33_29,dx,axr,z,ax,1015
33_30,axr,z,ax,v,415
33_31,z,ax,v,s,2440
33_32,ax,v,s,ih,863
33_33,v,s,ih,v,1109
33_34,s,ih,v,el,1959
33_35,ih,v,el,r,1512
33_36,v,el,r,ay,3148
33_37,el,r,ay,tcl,659
33_38,r,ay,tcl,s,1420
33_39,ay,tcl,s,q,1129
33_40,tcl,s,q,eh,1511
33_41,s,q,eh,n,625
33_42,q,eh,n,ah,939
33_43,eh,n,ah,v,1430
33_44,n,ah,v,eh,1166
33_45,ah,v,eh,n,560
33_46,v,eh,n,ix,769
33_47,eh,n,ix,gcl,1131
33_48,n,ix,gcl,g,550
33_49,ix,gcl,g,r,976
33_50,gcl,g,r,ey,1822
33_51,g,r,ey,sh,1982
33_52,r,ey,sh,epi,435
33_53,ey,sh,epi,ix,817
33_54,sh,epi,ix,n,1270
34_0,sil,sil,sil,dh,490
34_1,sil,sil,dh,ax,763
34_2,sil,dh,ax,s,2107
34_3,dh,ax,s,ow,2039
34_4,ax,s,ow,sh,1881
34_5,s,ow,sh,ah,1159
34_6,ow,sh,ah,l,1487
34_7,sh,ah,l,q,859
34_8,ah,l,q,eh,845
34_9,l,q,eh,n,850
34_10,q,eh,n,s,1274
34_11,eh,n,s,ay,2076
34_12,n,s,ay,kcl,700
34_13,s,ay,kcl,k,210
34_14,ay,kcl,k,ax,569
34_15,kcl,k,ax,l,1421
34_16,k,ax,l,aa,1380
34_17,ax,l,aa,dcl,390
34_18,l,aa,dcl,jh,840
34_19,aa,dcl,jh,ix,570
34_20,dcl,jh,ix,kcl,457
34_21,jh,ix,kcl,k,295
34_22,ix,kcl,k,el,1526
34_23,kcl,k,el,kcl,902
34_24,k,el,kcl,k,1230
34_25,el,kcl,k,aa,1550
34_26,kcl,k,aa,n,416
34_27,k,aa,n,epi,274
34_28,aa,n,epi,s,1194
34_29,n,epi,s,ix,636
34_30,epi,s,ix,kcl,490
34_31,s,ix,kcl,k,1000
34_32,ix,kcl,k,w,476
34_33,kcl,k,w,eh,954
34_34,k,w,eh,n,583
34_35,w,eh,n,epi,397
34_36,eh,n,epi,s,847
34_37,n,epi,s,ix,953
34_38,epi,s,ix,z,1070
34_39,s,ix,z,ah,1380
34_40,ix,z,ah,v,1117
34_41,z,ah,v,dh,907
34_42,ah,v,dh,ih,2156
34_43,v,dh,ih,s,1824
34_44,dh,ih,s,kcl,946
34_45,ih,s,kcl,k,715
34_46,s,kcl,k,ax,494
34_47,kcl,k,ax,n,691
34_48,k,ax,n,tcl,550
34_49,ax,n,tcl,t,970
34_50,n,tcl,t,ix,731
34_51,tcl,t,ix,n,1086
34_52,t,ix,n,y,877
34_53,ix,n,y,ux,866
34_54,n,y,ux,tcl,730
34_55,y,ux,tcl,t,970
34_56,ux,tcl,t,uw,926
34_57,tcl,t,uw,ax,734
34_58,t,uw,ax,f,1740
34_59,uw,ax,f,eh,1300
34_60,ax,f,eh,kcl,802
34_61,f,eh,kcl,k,468
34_62,eh,kcl,k,dh,1030
34_63,kcl,k,dh,iy,1755
34_64,k,dh,iy,eh,860
34_65,dh,iy,eh,r,1963
34_66,iy,eh,r,iy,2006
34_67,eh,r,iy,ah,1516
35_0,sil,sil,sil,w,461
35_1,sil,sil,w,ah,677
35_2,sil,w,ah,dx,480
35_3,w,ah,dx,eh,1440
35_4,ah,dx,eh,v,880
35_5,dx,eh,v,er,1120
35_6,eh,v,er,dh,600
35_7,v,er,dh,eh,1400
35_8,er,dh,eh,r,720
35_9,dh,eh,r,f,2390
35_10,eh,r,f,aa,2368
35_11,r,f,aa,l,842
35_12,f,aa,l,tcl,410
35_13,aa,l,tcl,t,326
35_14,l,tcl,t,s,1244
35_15,tcl,t,s,dh,670
35_16,t,s,dh,ey,1315
35_17,s,dh,ey,axr,715
35_18,dh,ey,axr,n,1068
35_19,ey,axr,n,aa,1640
35_20,axr,n,aa,q,1132
35_21,n,aa,q,hh,772
35_22,aa,q,hh,ix,802
35_23,q,hh,ix,pcl,726
35_24,hh,ix,pcl,p,480
35_25,ix,pcl,p,ix,700
35_26,pcl,p,ix,kcl,970
35_27,p,ix,kcl,k,730
35_28,ix,kcl,k,r,878
35_29,kcl,k,r,ix,942
35_30,k,r,ix,tcl,1270
35_31,r,ix,tcl,t,255
35_32,ix,tcl,t,s,2340
36_0,sil,sil,sil,q,308
36_1,sil,sil,q,ah,795
36_2,sil,q,ah,kcl,1147
36_3,q,ah,kcl,k,750
36_4,ah,kcl,k,aa,2000
36_5,kcl,k,aa,n,650
36_6,k,aa,n,s,2036
36_7,aa,n,s,eh,1729
36_8,n,s,eh,pcl,1345
36_9,s,eh,pcl,t,350
36_10,eh,pcl,t,ix,744
36_11,pcl,t,ix,v,1506
36_12,t,ix,v,r,431
36_13,ix,v,r,ix,499
36_14,v,r,ix,s,1742
36_15,r,ix,s,pcl,608
36_16,ix,s,pcl,p,533
36_17,s,pcl,p,aa,1907
36_18,pcl,p,aa,n,570
36_19,p,aa,n,tcl,470
36_20,aa,n,tcl,s,1146
36_21,n,tcl,s,ax,412
36_22,tcl,s,ax,bcl,1282
36_23,s,ax,bcl,b,238
36_24,ax,bcl,b,ih,1356
36_25,bcl,b,ih,l,752
36_26,b,ih,l,ax,961
36_27,ih,l,ax,tcl,973
36_28,l,ax,tcl,t,1560
36_29,ax,tcl,t,iy,1888
36_30,tcl,t,iy,ix,1366
36_31,t,iy,ix,z,1674
36_32,iy,ix,z,ix,792
36_33,ix,z,ix,n,1743
36_34,z,ix,n,pcl,787
36_35,ix,n,pcl,p,1090
36_36,n,pcl,p,r,866
36_37,pcl,p,r,aa,1664
36_38,p,r,aa,s,2071
36_39,r,aa,s,eh,2713
36_40,aa,s,eh,s,1449
36_41,s,eh,s,ax,617
36_42,eh,s,ax,v,1003
36_43,s,ax,v,aa,839
36_44,ax,v,aa,r,1149
36_45,v,aa,r,tcl,1019
36_46,aa,r,tcl,t,760
36_47,r,tcl,t,ix,896
36_48,tcl,t,ix,kcl,794
36_49,t,ix,kcl,k,950
36_50,ix,kcl,k,y,406
36_51,kcl,k,y,ix,418
36_52,k,y,ix,l,835
36_53,y,ix,l,ey,2021
36_54,ix,l,ey,sh,1750
36_55,l,ey,sh,epi,330
36_56,ey,sh,epi,en,515
36_57,sh,epi,en,ax,962
36_58,epi,en,ax,n,776
36_59,en,ax,n,ax,1287
36_60,ax,n,ax,s,1354
36_61,n,ax,s,tcl,176
36_62,ax,s,tcl,t,560
36_63,s,tcl,t,ae,3240
36_64,tcl,t,ae,bcl,800
36_65,t,ae,bcl,b,400
36_66,ae,bcl,b,l,421
36_67,bcl,b,l,ix,559
36_68,b,l,ix,sh,1621
36_69,l,ix,sh,epi,797
36_70,ix,sh,epi,em,442
36_71,sh,epi,em,tcl,1720
36_72,epi,em,tcl,t,952
37_0,sil,sil,sil,q,961
37_1,sil,sil,q,ix,750
37_2,sil,q,ix,n,1049
37_3,q,ix,n,tcl,580
37_4,ix,n,tcl,t,1440
37_5,n,tcl,t,er,1060
37_6,tcl,t,er,nx,400
37_7,t,er,nx,ax,1066
37_8,er,nx,ax,l,493
37_9,nx,ax,l,n,834
37_10,ax,l,n,ae,2326
37_11,l,n,ae,sh,1901
37_12,n,ae,sh,epi,300
37_13,ae,sh,epi,n,261
37_14,sh,epi,n,el,880
37_15,epi,n,el,r,845
37_16,n,el,r,iy,714
37_17,el,r,iy,s,1216
37_18,r,iy,s,pcl,1204
